target_cliente,target_producto,Semana,cantidad,se_compra
1.3333333333333333,1.7833333333333334,22,1.0,0
1.3333333333333333,1.0780984719864177,22,1.0,0
1.3333333333333333,3.2275449101796405,19,2.0,0
1.3,1.107371794871795,19,1.0,0
1.3,1.1640112464854733,18,1.0,0
1.3,1.1640112464854733,20,1.0,1
1.3,1.1640112464854733,21,1.0,0
1.3,1.7638114546376078,18,1.0,0
1.3,1.7638114546376078,20,1.0,1
1.3,1.7638114546376078,21,1.0,0
1.3,3.3890237979601747,18,2.0,1
1.3,3.3890237979601747,19,2.0,1
1.3,3.3890237979601747,20,2.0,1
1.3,3.3890237979601747,21,2.0,1
1.3,3.3890237979601747,22,3.0,0
1.3,1.0398089171974523,18,1.0,0
1.3,1.0398089171974523,22,1.0,0
1.3,1.2392444910807974,19,1.0,1
1.3,1.2392444910807974,20,1.0,0
1.3,1.2392444910807974,22,1.0,0
1.3,1.1846153846153846,19,1.0,0
1.3,1.091710758377425,19,1.0,0
1.3,1.091710758377425,22,1.0,0
1.813953488372093,1.107371794871795,21,1.0,0
1.813953488372093,1.107371794871795,23,1.0,0
1.813953488372093,1.2613412228796843,21,1.0,0
1.813953488372093,1.2613412228796843,23,1.0,0
1.813953488372093,1.1640112464854733,18,1.0,0
1.813953488372093,1.1640112464854733,21,1.0,0
1.813953488372093,1.7638114546376078,19,1.0,0
1.813953488372093,1.7638114546376078,21,1.0,1
1.813953488372093,1.7638114546376078,22,1.0,1
1.813953488372093,1.7638114546376078,23,1.0,0
1.813953488372093,3.3890237979601747,18,4.0,0
1.813953488372093,3.3890237979601747,21,5.0,1
1.813953488372093,3.3890237979601747,22,3.0,0
1.813953488372093,1.1394335511982572,21,1.0,0
1.813953488372093,1.1394335511982572,23,1.0,0
1.813953488372093,1.0398089171974523,21,1.0,0
1.813953488372093,1.2392444910807974,18,1.0,0
1.813953488372093,1.2392444910807974,21,1.0,1
1.813953488372093,1.2392444910807974,22,1.0,1
1.813953488372093,1.2392444910807974,23,1.0,0
1.813953488372093,1.099041533546326,21,1.0,0
1.813953488372093,3.50066401062417,21,4.0,1
1.813953488372093,3.50066401062417,22,3.0,0
1.813953488372093,4.700952380952381,18,4.0,0
1.813953488372093,4.700952380952381,21,3.0,1
1.813953488372093,4.700952380952381,22,4.0,0
1.813953488372093,1.3422053231939164,19,1.0,0
1.813953488372093,1.3422053231939164,21,1.0,0
1.813953488372093,1.3422053231939164,23,1.0,0
1.813953488372093,1.0615079365079365,18,1.0,0
1.813953488372093,1.0615079365079365,23,1.0,0
1.813953488372093,1.1846153846153846,21,1.0,1
